Dataset,LS Avg Time(s),LS Avg Sol.Quality,LS Full Tour Fraction,LS Best Distance,Brute Force Time(s),Brute Force Sol.Quality,Brute Force Full Tour,Brute Force RelError(%),Approx Time(s),Approx Sol.Quality,Approx Full Tour,Approx RelError(%)
Atlanta.tsp,9.917919960571453e-05,2117963.0,0.0,2117963,20.000174083004822,2052534,Yes,-3.0892418800517287,0.00024604200007161126,2380448.0,Yes,12.393275992073516
Berlin.tsp,0.0011970208994171116,8385.0,0.0,8385,20.000738415998057,8394,Yes,0.1073345259391771,0.0005471670010592788,10402.0,Yes,24.05485986881336
Boston.tsp,0.0007285375009814743,1031890.0,0.0,1031890,20.00064037500124,1028480,Yes,-0.33046158020719263,0.0006438750060624443,1150963.0,Yes,11.539311360707053
Champaign.tsp,0.0015475248990696854,60899.0,0.0,60899,20.00150633299927,58797,Yes,-3.451616611110199,0.0006561249974765815,65712.0,Yes,7.903249642851279
Cincinnati.tsp,7.587889995193109e-05,280243.0,0.0,280243,0.19565645900001982,277952,Yes,-0.8175048083270591,0.0001990409946301952,301216.0,Yes,7.4838622195737265
Denver.tsp,0.008753579200129025,118295.0,0.0,118295,20.004990749999706,110982,Yes,-6.182002620567226,0.0010528749990044162,134748.0,Yes,13.908449215943191
NYC.tsp,0.002682141599507304,1778732.0,0.0,1778732,20.00081995900109,1816015,Yes,2.0960436985448063,0.0008684580025146715,2027107.0,Yes,13.963598788350353
Philadelphia.tsp,0.000352516800921876,1552382.0,0.0,1552382,20.00024391599436,1473335,Yes,-5.091981226270338,0.000497708999319002,1646249.0,Yes,6.04664315870707
Roanoke.tsp,0.11239602499990724,752128.0,0.0,752128,20.004328416995122,787054,Yes,4.643624489448604,0.006412832997739315,838282.0,Yes,11.454699200136147
SanFrancisco.tsp,0.006047595800191629,868721.0,0.0,868721,20.000993666995782,896718,Yes,3.222783839690764,0.001299124996876344,1134989.0,Yes,30.65057711278995
Toronto.tsp,0.010818004100292456,1340144.0,0.0,1340144,20.00119391699991,1358974,Yes,1.405072887689681,0.001676540996413678,1675105.0,Yes,24.99440358648026
UKansasState.tsp,7.538749923696741e-05,69594.0,0.0,69594,0.02869829200062668,62962,Yes,-9.529557145730953,0.003968750002968591,68090.0,Yes,-2.1611058424576832
UMissouri.tsp,0.011900879098539008,145238.0,0.0,145238,20.004040624997288,158602,Yes,9.201448656687644,0.0040672920003999025,178249.0,Yes,22.728900150098458
